time,sym,bid,ask,bidSize,askSize
0D20:15:28.163899000,x2,199.9165,200.0255,19,444
0D20:15:28.163914000,x2,199.9502,200.0137,458,33
0D20:15:28.343529000,x2,199.9643,200.042,460,445
0D20:15:28.343541000,x2,199.9524,200.0655,468,426
0D20:15:28.393079000,x1,99.90419,100.0669,265,209
0D20:15:28.393086000,x1,99.92493,100.047,397,439
0D20:15:28.462909000,x2,199.9218,200.0612,374,163
0D20:15:28.462927000,x2,199.9379,200.0624,249,161
0D20:15:28.553010000,x1,99.99203,100.0956,348,207
0D20:15:28.553022000,x1,99.95377,100.0479,9,318
0D20:15:28.623035000,x3,299.9958,300.0172,125,417
0D20:15:28.623047000,x3,299.9089,300.098,404,211
0D20:15:28.672692000,x1,99.96198,100.022,225,299
0D20:15:28.672697000,x1,99.91653,100.0331,246,423
0D20:15:28.702467000,x2,199.921,200.0337,314,231
0D20:15:28.702472000,x2,199.9881,200.0843,343,297
0D20:15:28.792858000,x2,199.9636,200.0795,69,343
0D20:15:28.792863000,x2,199.9424,200.0672,183,267
0D20:15:28.802706000,x2,199.9881,200.04,149,363
0D20:15:28.802711000,x2,199.9517,200.0122,150,64
0D20:15:29.062491000,x3,299.983,300.0555,457,224
0D20:15:29.062497000,x3,299.917,300.0042,313,202
0D20:15:29.072479000,x1,99.93478,100.0439,357,233
0D20:15:29.072485000,x1,99.90393,100.0024,254,345
0D20:15:29.273238000,x2,199.9404,200.0435,241,190
0D20:15:29.273250000,x2,199.9818,200.0748,185,252
0D20:15:29.412596000,x2,199.9295,200.0427,149,334
0D20:15:29.412600000,x2,199.9622,200.087,458,120
0D20:15:29.522750000,x1,99.93682,100.0883,403,121
0D20:15:29.522764000,x1,99.98446,100.0589,31,444
0D20:15:29.592942000,x2,199.956,200.0482,106,420
0D20:15:29.592954000,x2,199.9507,200.0349,62,283
0D20:15:29.632990000,x3,299.9182,300.0516,219,466
0D20:15:29.633003000,x3,299.9732,300.0849,276,59
0D20:15:29.742416000,x2,199.9365,200.0343,43,42
0D20:15:29.742420000,x2,199.98,200.0919,397,48
0D20:15:29.762326000,x3,299.9818,300.001,449,94
0D20:15:29.762330000,x3,299.9633,300.0667,189,365
0D20:15:29.872454000,x1,99.93166,100.015,359,259
0D20:15:29.872458000,x1,99.90551,100.0665,266,10
0D20:15:29.882785000,x1,99.90324,100.023,217,349
0D20:15:29.882790000,x1,99.92652,100.065,450,411
0D20:15:30.052977000,x2,199.9355,200.0667,194,96
0D20:15:30.052988000,x2,199.9565,200.0544,387,43
0D20:15:30.222917000,x3,299.9998,300.0641,150,65
0D20:15:30.222929000,x3,299.917,300.0664,490,257
0D20:15:30.492513000,x3,299.9946,300.0271,176,111
0D20:15:30.492523000,x3,299.946,300.0684,219,300
0D20:15:30.513509000,x2,199.9168,200.0576,62,138
0D20:15:30.513513000,x2,199.947,200.0247,317,125
0D20:15:30.593077000,x1,99.92071,100.0566,292,191
0D20:15:30.593082000,x1,99.92691,100.0809,369,256
0D20:15:30.602215000,x2,199.9186,200.0653,339,475
0D20:15:30.602220000,x2,199.9889,200.0142,65,99
0D20:15:30.712419000,x3,299.9021,300.0933,324,296
0D20:15:30.712424000,x3,299.9387,300.0567,476,264
0D20:15:30.752337000,x2,199.9384,200.0488,31,75
0D20:15:30.752342000,x2,199.9938,200.0047,188,62
0D20:15:30.912960000,x1,99.99837,100.0435,496,83
0D20:15:30.912976000,x1,99.99564,100.0495,420,151
0D20:15:31.003117000,x2,199.9076,200.0809,198,122
0D20:15:31.003122000,x2,199.9372,200.0283,277,364
0D20:15:31.283024000,x3,299.914,300.02,114,432
0D20:15:31.283036000,x3,299.9761,300.0624,200,98
0D20:15:31.293058000,x1,99.97547,100.0433,243,180
0D20:15:31.293070000,x1,99.98393,100.0722,346,447
0D20:15:31.383530000,x3,299.9432,300.0812,118,10
0D20:15:31.383542000,x3,299.9146,300.0418,33,256
0D20:15:31.422898000,x2,199.9198,200.0934,381,450
0D20:15:31.422907000,x2,199.9311,200.0483,59,358
0D20:15:31.622785000,x2,199.9483,200.0197,217,66
0D20:15:31.622791000,x2,199.9464,200.0726,461,166
0D20:15:31.652591000,x3,299.9879,300.0561,66,30
0D20:15:31.652596000,x3,299.9684,300.0738,254,18
0D20:15:31.722973000,x1,99.91812,100.0609,320,316
0D20:15:31.722978000,x1,99.93418,100.0659,483,342
0D20:15:31.972684000,x2,199.9941,200.0259,280,459
0D20:15:31.972690000,x2,199.9559,200.0893,427,310
0D20:15:31.982517000,x3,299.9459,300.0948,55,279
0D20:15:31.982524000,x3,299.9532,300.0122,341,235
0D20:15:31.992400000,x2,199.9301,200.005,15,229
0D20:15:31.992408000,x2,199.9055,200.036,425,341
0D20:15:32.032806000,x2,200,200.0368,491,476
0D20:15:32.032811000,x2,199.9528,200.0103,417,53
0D20:15:32.302849000,x2,199.9414,200.0482,399,336
0D20:15:32.302856000,x2,199.9579,200.0986,389,3
0D20:15:32.362689000,x2,199.9554,200.0641,248,81
0D20:15:32.362693000,x2,199.9224,200.044,480,81
0D20:15:32.372650000,x1,99.9822,100.0232,99,74
0D20:15:32.372656000,x1,99.97956,100.0019,457,441
0D20:15:32.592634000,x3,299.9095,300.0916,228,187
0D20:15:32.592639000,x3,299.9298,300.0249,468,237
0D20:15:32.633261000,x3,299.9498,300.0835,178,72
0D20:15:32.633278000,x3,299.9897,300.0367,88,196
0D20:15:32.673174000,x2,199.901,200.0144,131,300
0D20:15:32.673185000,x2,199.9822,200.0911,29,73
0D20:15:32.712752000,x2,199.923,200.0714,84,156
0D20:15:32.712756000,x2,199.9541,200.0833,10,306
0D20:15:32.742771000,x2,199.9574,200.0547,127,141
0D20:15:32.742776000,x2,199.9384,200.0582,97,472
0D20:15:32.812318000,x3,299.9164,300.043,355,313
0D20:15:32.812323000,x3,299.9734,300.0232,315,474
0D20:15:32.943969000,x2,199.9588,200.0993,442,348
0D20:15:32.943986000,x2,199.9955,200.0135,244,214
0D20:15:32.963252000,x3,299.9273,300.0697,362,458
0D20:15:32.963269000,x3,299.9686,300.0116,193,219
0D20:15:33.032546000,x2,199.9601,200.0294,202,402
0D20:15:33.032551000,x2,199.9371,200.0885,221,356
0D20:15:33.062608000,x3,299.916,300.0652,161,110
0D20:15:33.062614000,x3,299.918,300.0548,248,3
0D20:15:33.122724000,x2,199.9672,200.0442,490,213
0D20:15:33.122729000,x2,199.9176,200.0384,420,495
0D20:15:33.332895000,x2,199.9019,200.0807,460,444
0D20:15:33.332901000,x2,199.9194,200.0014,105,72
0D20:15:33.373074000,x3,299.957,300.04,1,381
0D20:15:33.373080000,x3,299.9665,300.0506,477,312
0D20:15:33.393162000,x3,299.9125,300.0701,80,458
0D20:15:33.393167000,x3,299.9423,300.047,189,33
0D20:15:33.412645000,x3,299.9232,300.0149,375,412
0D20:15:33.412662000,x3,299.9056,300.0095,312,250
0D20:15:33.482698000,x3,299.9294,300.0553,489,173
0D20:15:33.482703000,x3,299.9814,300.0072,255,417
0D20:15:33.533035000,x2,199.9401,200.0471,341,439
0D20:15:33.533040000,x2,199.9712,200.0875,366,23
0D20:15:33.582587000,x2,199.9065,200.0117,169,324
0D20:15:33.582593000,x2,199.9914,200.0518,116,146
0D20:15:33.812639000,x3,299.9553,300.089,28,280
0D20:15:33.812644000,x3,299.9451,300.0311,23,79
0D20:15:33.972515000,x2,199.9486,200.0848,226,339
0D20:15:33.972520000,x2,199.9359,200.0391,482,283
0D20:15:34.132358000,x3,299.9322,300.0721,475,366
0D20:15:34.132363000,x3,299.9082,300.0113,437,78
0D20:15:34.312797000,x1,99.95247,100.0301,309,277
0D20:15:34.312802000,x1,99.96874,100.0789,10,382
0D20:15:34.392308000,x3,299.9047,300.0475,244,63
0D20:15:34.392313000,x3,299.926,300.0292,354,260
0D20:15:34.402194000,x3,299.9928,300.0723,0,115
0D20:15:34.402199000,x3,299.9164,300.0129,10,317
0D20:15:34.462926000,x3,299.9895,300.0273,77,392
0D20:15:34.462944000,x3,299.9096,300.0161,15,280
0D20:15:34.483513000,x2,199.9734,200.0336,22,226
0D20:15:34.483536000,x2,199.9504,200.0871,222,379
0D20:15:34.533879000,x3,299.9044,300.0848,294,433
0D20:15:34.533884000,x3,299.9838,300.0826,361,341
0D20:15:34.682429000,x2,199.9885,200.0077,144,88
0D20:15:34.682446000,x2,199.983,200.0525,453,141
0D20:15:34.703921000,x1,99.93694,100.0577,23,378
0D20:15:34.703940000,x1,99.90193,100.006,117,319
0D20:15:34.833389000,x3,299.9885,300.0813,36,43
0D20:15:34.833397000,x3,299.9009,300.0688,33,65
0D20:15:34.863065000,x3,299.939,300.0899,356,70
0D20:15:34.863070000,x3,299.9301,300.0615,216,393
0D20:15:35.143216000,x3,299.9502,300.0786,440,467
0D20:15:35.143220000,x3,299.9741,300.0305,247,73
0D20:15:35.202912000,x1,99.98436,100.0501,361,464
0D20:15:35.202917000,x1,99.91313,100.0343,196,145
0D20:15:35.282724000,x1,99.92022,100.088,353,305
0D20:15:35.282729000,x1,99.99817,100.0559,339,492
0D20:15:35.322993000,x1,99.96957,100.0405,278,30
0D20:15:35.323010000,x1,99.9525,100.0388,438,478
0D20:15:35.333542000,x2,199.9274,200.0826,269,219
0D20:15:35.333560000,x2,199.9696,200.0459,170,411
0D20:15:35.363465000,x1,99.90709,100.0238,490,305
0D20:15:35.363481000,x1,99.92291,100.06,453,347
0D20:15:35.442584000,x1,99.99542,100.0679,365,470
0D20:15:35.442589000,x1,99.98687,100.0814,101,120
0D20:15:35.473840000,x1,99.93068,100.002,443,404
0D20:15:35.473856000,x1,99.97766,100.0468,305,14
0D20:15:35.513352000,x1,99.90167,100.0457,469,237
0D20:15:35.513359000,x1,99.95479,100.0521,9,285
0D20:15:35.522639000,x3,299.9936,300.0717,361,455
0D20:15:35.522644000,x3,299.9263,300.0578,262,381
0D20:15:35.532436000,x3,299.9374,300.0192,358,452
0D20:15:35.532441000,x3,299.9037,300.028,470,118
0D20:15:35.642397000,x3,299.9675,300.0412,401,407
0D20:15:35.642412000,x3,299.97,300.0228,276,99
0D20:15:36.013524000,x1,99.95239,100.0411,29,232
0D20:15:36.013530000,x1,99.93979,100.099,381,145
0D20:15:36.033519000,x2,199.9801,200.0088,16,35
0D20:15:36.033524000,x2,199.9319,200.0305,445,395
0D20:15:36.053471000,x2,199.9023,200.0443,334,337
0D20:15:36.053476000,x2,199.9683,200.0969,76,147
0D20:15:36.272278000,x3,299.9585,300.0589,416,202
0D20:15:36.272283000,x3,299.911,300.0651,43,412
0D20:15:36.342751000,x3,299.9557,300.0672,73,246
0D20:15:36.342756000,x3,299.9292,300.0978,214,268
0D20:15:36.462705000,x1,99.95201,100.0937,360,83
0D20:15:36.462710000,x1,99.92637,100.0605,50,6
0D20:15:36.502410000,x1,99.91102,100.0837,277,122
0D20:15:36.502416000,x1,99.95946,100.008,314,421
0D20:15:36.772790000,x3,299.9153,300.0491,257,355
0D20:15:36.772794000,x3,299.9566,300.0515,155,475
0D20:15:36.852636000,x1,99.95014,100.0766,266,423
0D20:15:36.852641000,x1,99.93753,100.0734,201,492
0D20:15:36.902695000,x2,199.9998,200.0054,136,387
0D20:15:36.902722000,x2,199.9138,200.0015,256,416
0D20:15:36.992802000,x2,199.92,200.0982,323,388
0D20:15:36.992815000,x2,199.9853,200.0747,138,478
0D20:15:37.043306000,x1,99.98854,100.0608,349,384
0D20:15:37.043312000,x1,99.90416,100.0498,151,116
0D20:15:37.052427000,x2,199.9431,200.0789,417,457
0D20:15:37.052432000,x2,199.9295,200.0419,381,40
0D20:15:37.392744000,x2,199.9617,200.0922,338,367
0D20:15:37.392749000,x2,199.9172,200.0843,29,498
0D20:15:37.633187000,x2,199.9978,200.0498,42,401
0D20:15:37.633203000,x2,199.9339,200.0056,56,315
0D20:15:37.673391000,x3,299.9506,300.0936,177,421
0D20:15:37.673400000,x3,299.9881,300.0335,353,475
0D20:15:37.772541000,x3,299.9552,300.0383,267,108
0D20:15:37.772546000,x3,299.9098,300.0626,224,25
0D20:15:37.782561000,x3,299.9937,300.0229,414,248
0D20:15:37.782566000,x3,299.9518,300.0671,283,322
0D20:15:37.872568000,x3,299.9863,300.0351,42,451
0D20:15:37.872573000,x3,299.9115,300.061,186,28
0D20:15:37.922935000,x2,199.9081,200.046,282,58
0D20:15:37.922940000,x2,199.9309,200.038,139,207
0D20:15:37.973642000,x3,299.9861,300.0177,247,162
0D20:15:37.973660000,x3,299.9027,300.0208,103,305
0D20:15:38.334140000,x1,99.97475,100.0495,73,407
0D20:15:38.334156000,x1,99.93361,100.0987,76,439
0D20:15:38.392593000,x2,199.9229,200.0519,98,284
0D20:15:38.392598000,x2,199.9258,200.0461,142,102
0D20:15:38.483205000,x2,199.9683,200.0371,13,397
0D20:15:38.483210000,x2,199.9901,200.0258,256,393
0D20:15:38.542847000,x3,299.9406,300.0278,251,308
0D20:15:38.542852000,x3,299.9285,300.0575,206,384
0D20:15:38.613604000,x2,199.9991,200.0354,385,412
0D20:15:38.613615000,x2,199.9298,200.0312,495,95
0D20:15:38.643235000,x1,99.98974,100.0157,74,78
0D20:15:38.643247000,x1,99.97444,100.0944,97,233
0D20:15:38.673275000,x1,99.9084,100.0531,433,45
0D20:15:38.673304000,x1,99.90125,100.045,225,455
0D20:15:38.713159000,x2,199.986,200.0047,202,284
0D20:15:38.713164000,x2,199.9943,200.0756,279,410
0D20:15:38.742760000,x3,299.9661,300.0401,355,417
0D20:15:38.742765000,x3,299.9753,300.0918,53,174
0D20:15:38.753142000,x3,299.9076,300.041,457,409
0D20:15:38.753148000,x3,299.9979,300.0355,333,313
0D20:15:38.952577000,x1,99.9429,100.0118,432,243
0D20:15:38.952584000,x1,99.90092,100.0397,373,14
0D20:15:38.982322000,x3,299.9346,300.0446,232,497
0D20:15:38.982326000,x3,299.9325,300.0487,435,166
0D20:15:39.212623000,x2,199.9964,200.0307,411,258
0D20:15:39.212628000,x2,199.9819,200.0076,479,380
0D20:15:39.302889000,x1,99.99007,100.0431,373,366
0D20:15:39.302897000,x1,99.91281,100.0741,145,59
0D20:15:39.512772000,x3,299.9199,300.0227,240,259
0D20:15:39.512778000,x3,299.9677,300.0503,44,384
0D20:15:39.602689000,x3,299.9806,300.0366,238,435
0D20:15:39.602695000,x3,299.9864,300.0444,445,184
0D20:15:39.692968000,x2,199.9053,200.0288,311,266
0D20:15:39.692986000,x2,199.9165,200.0463,138,292
0D20:15:39.703289000,x2,199.9539,200.0813,413,251
0D20:15:39.703299000,x2,199.945,200.0434,403,407
0D20:15:39.733137000,x1,99.9259,100.0232,34,320
0D20:15:39.733147000,x1,99.94765,100.0924,381,360
0D20:15:39.993886000,x2,199.9038,200.0493,210,197
0D20:15:39.993899000,x2,199.9467,200.0095,209,48
0D20:15:40.193821000,x2,199.97,200.0833,432,271
0D20:15:40.193834000,x2,199.9479,200.0973,360,444
0D20:15:40.212685000,x3,299.9054,300.0861,475,16
0D20:15:40.212697000,x3,299.9629,300.0896,219,438
0D20:15:40.252956000,x1,99.94509,100.0229,216,44
0D20:15:40.252969000,x1,99.96594,100.0085,208,402
0D20:15:40.283646000,x3,299.9495,300.0898,447,419
0D20:15:40.283658000,x3,299.9831,300.0506,276,455
0D20:15:40.313268000,x1,99.99491,100.0526,413,88
0D20:15:40.313280000,x1,99.94988,100.0525,483,131
0D20:15:40.323028000,x2,199.9537,200.0667,445,478
0D20:15:40.323040000,x2,199.9782,200.0167,177,49
0D20:15:40.552915000,x3,299.9123,300.0359,78,347
0D20:15:40.552932000,x3,299.9912,300.0199,455,356
0D20:15:40.642383000,x1,99.99212,100.0493,372,46
0D20:15:40.642387000,x1,99.99721,100.0033,134,220
0D20:15:40.652803000,x3,299.9075,300.075,243,360
0D20:15:40.652808000,x3,299.906,300.0458,141,450
0D20:15:40.663265000,x3,299.9776,300.0489,116,406
0D20:15:40.663269000,x3,299.9817,300.0929,231,32
0D20:15:40.723681000,x3,299.9155,300.0061,3,98
0D20:15:40.723685000,x3,299.9671,300.0393,451,243
0D20:15:40.763412000,x1,99.98736,100.0273,238,402
0D20:15:40.763429000,x1,99.99238,100.0663,413,417
0D20:15:40.792500000,x2,199.9492,200.0987,327,269
0D20:15:40.792505000,x2,199.9388,200.0418,478,324
0D20:15:40.962762000,x3,299.9713,300.0189,98,175
0D20:15:40.962772000,x3,299.9443,300.0331,175,393
0D20:15:40.983578000,x1,99.9319,100.0421,163,405
0D20:15:40.983594000,x1,99.98153,100.0111,386,285
0D20:15:41.052913000,x2,199.9271,200.0251,295,301
0D20:15:41.052923000,x2,199.9957,200.0596,227,377
0D20:15:41.132478000,x2,199.9277,200.0017,117,332
0D20:15:41.132484000,x2,199.9271,200.0144,326,38
0D20:15:41.182803000,x2,199.913,200.0656,285,481
0D20:15:41.182808000,x2,199.9523,200.0581,268,44
0D20:15:41.523242000,x3,299.962,300.006,70,354
0D20:15:41.523247000,x3,299.9641,300.0687,24,199
0D20:15:41.532395000,x2,199.9315,200.0809,123,329
0D20:15:41.532400000,x2,199.9899,200.0706,280,425
0D20:15:41.862862000,x2,199.9416,200.06,460,461
0D20:15:41.862866000,x2,199.9516,200.0918,158,497
0D20:15:41.942511000,x1,99.96763,100.079,318,82
0D20:15:41.942515000,x1,99.91535,100.0204,329,344
0D20:15:41.992457000,x2,199.9238,200.0582,428,58
0D20:15:41.992474000,x2,199.988,200.0127,70,38
0D20:15:42.063183000,x3,299.9559,300.0137,410,318
0D20:15:42.063188000,x3,299.9648,300.0046,34,308
0D20:15:42.242267000,x3,299.9143,300.0986,87,119
0D20:15:42.242285000,x3,299.9036,300.0496,262,169
0D20:15:42.292661000,x2,199.9266,200.0962,51,121
0D20:15:42.292668000,x2,199.9067,200.0203,186,222
0D20:15:42.452431000,x3,299.9122,300.0733,216,233
0D20:15:42.452440000,x3,299.9133,300.0927,264,483
0D20:15:42.632537000,x1,99.99688,100.0805,292,149
0D20:15:42.632541000,x1,99.97956,100.0368,429,348
0D20:15:42.652940000,x2,199.9031,200.0716,132,47
0D20:15:42.652943000,x2,199.9234,200.0876,481,95
0D20:15:42.732826000,x3,299.9324,300.0118,4,498
0D20:15:42.732831000,x3,299.9219,300.0258,183,258
0D20:15:42.993209000,x3,299.9571,300.0376,361,350
0D20:15:42.993222000,x3,299.9192,300.0307,159,408
0D20:15:43.013044000,x2,199.9707,200.0966,343,364
0D20:15:43.013056000,x2,199.9564,200.018,72,84
0D20:15:43.133523000,x2,199.9935,200.0363,110,209
0D20:15:43.133557000,x2,199.9724,200.07,303,63
0D20:15:43.143015000,x2,199.9016,200.0917,368,0
0D20:15:43.143020000,x2,199.9738,200.0184,97,139
0D20:15:43.162099000,x1,99.92382,100.0592,344,231
0D20:15:43.162103000,x1,99.94518,100.0773,141,227
0D20:15:43.172369000,x2,199.9749,200.0337,122,27
0D20:15:43.172374000,x2,199.947,200.0631,325,218
0D20:15:43.263225000,x1,99.98232,100.0105,13,181
0D20:15:43.263232000,x1,99.93548,100.0221,116,237
0D20:15:43.282971000,x3,299.9723,300.0541,52,286
0D20:15:43.282978000,x3,299.9766,300.0295,52,316
0D20:15:43.533888000,x3,299.9166,300.0648,471,72
0D20:15:43.533905000,x3,299.919,300.0582,364,326
0D20:15:43.612647000,x2,199.9835,200.0924,418,338
0D20:15:43.612664000,x2,199.9415,200.0385,254,479
