time,sym,price,qty
0D16:57:04.439419000,x2,200.0111,53
0D16:57:04.449313000,x1,100.042,165
0D16:57:04.449324000,x1,99.93364,53
0D16:57:04.459010000,x3,300.0013,7
0D16:57:04.459019000,x3,300.0109,9
0D16:57:04.468694000,x1,100.0439,274
0D16:57:04.468699000,x1,99.96084,114
0D16:57:04.479030000,x1,100.0037,243
0D16:57:04.479035000,x1,100.0252,353
0D16:57:04.488756000,x3,300.029,410
0D16:57:04.488770000,x3,299.9667,405
0D16:57:04.499107000,x2,200.0857,483
0D16:57:04.499123000,x2,200.005,167
0D16:57:04.509944000,x1,100.0542,479
0D16:57:04.509960000,x1,99.97612,24
0D16:57:04.518905000,x1,100.0594,353
0D16:57:04.518915000,x1,99.95681,359
0D16:57:04.528942000,x2,199.9375,427
0D16:57:04.528955000,x2,199.91,173
0D16:57:04.538744000,x2,200.0549,37
0D16:57:04.538748000,x2,199.9584,222
0D16:57:04.548380000,x3,299.9578,494
0D16:57:04.548384000,x3,299.9292,13
0D16:57:04.558919000,x2,200.0321,29
0D16:57:04.558923000,x2,199.9027,90
0D16:57:04.568633000,x1,100.0139,226
0D16:57:04.568638000,x1,99.94015,98
0D16:57:04.578806000,x1,99.90286,472
0D16:57:04.578811000,x1,99.94855,299
0D16:57:04.588953000,x3,300.0367,368
0D16:57:04.588958000,x3,299.9025,358
0D16:57:04.599681000,x1,100.0563,1
0D16:57:04.599696000,x1,100.0829,482
0D16:57:04.609252000,x2,199.9911,382
0D16:57:04.609268000,x2,199.9304,159
0D16:57:04.619224000,x3,299.9326,36
0D16:57:04.619240000,x3,300.0889,52
0D16:57:04.639987000,x1,99.97168,241
0D16:57:04.640004000,x1,100.0652,413
0D16:57:04.649698000,x3,299.919,471
0D16:57:04.649714000,x3,300.0128,46
0D16:57:04.659305000,x3,300.0888,37
0D16:57:04.659320000,x3,300.0277,379
0D16:57:04.669240000,x1,99.9694,382
0D16:57:04.669252000,x1,99.9412,241
0D16:57:04.679220000,x1,100.0537,77
0D16:57:04.679229000,x1,100.0765,490
0D16:57:04.689524000,x1,100.0931,336
0D16:57:04.689528000,x1,99.94734,52
0D16:57:04.698607000,x3,300.0862,165
0D16:57:04.698623000,x3,299.9883,29
0D16:57:04.709045000,x2,200.0191,245
0D16:57:04.709061000,x2,199.9284,66
0D16:57:04.719403000,x1,99.92017,96
0D16:57:04.719418000,x1,100.0138,13
0D16:57:04.739464000,x1,100.086,49
0D16:57:04.739475000,x1,99.92089,417
0D16:57:04.749209000,x1,99.9805,66
0D16:57:04.749219000,x1,100.0722,203
0D16:57:04.758890000,x2,200.0436,202
0D16:57:04.758899000,x2,200.0294,7
0D16:57:04.768936000,x1,100.0621,336
0D16:57:04.768947000,x1,100.0412,460
0D16:57:04.779153000,x3,300.0395,328
0D16:57:04.779164000,x3,300.0052,486
0D16:57:04.789408000,x1,100.0319,343
0D16:57:04.789419000,x1,100.0945,199
0D16:57:04.799342000,x3,300.0715,174
0D16:57:04.799350000,x3,300.0737,100
0D16:57:04.808413000,x1,100.0436,423
0D16:57:04.808419000,x1,100.0671,154
0D16:57:04.818466000,x3,299.9743,409
0D16:57:04.818473000,x3,299.968,445
0D16:57:04.829198000,x2,199.9782,450
0D16:57:04.829203000,x2,200.0511,21
0D16:57:04.838394000,x1,100.0236,117
0D16:57:04.838399000,x1,99.96653,273
0D16:57:04.848936000,x1,100.0442,204
0D16:57:04.848941000,x1,100.0009,268
0D16:57:04.858725000,x3,299.9175,397
0D16:57:04.858730000,x3,300.0105,433
0D16:57:04.868373000,x2,199.9283,255
0D16:57:04.868377000,x2,199.9979,229
0D16:57:04.898770000,x3,300.0354,318
0D16:57:04.898776000,x3,299.9408,186
0D16:57:04.908434000,x2,200.0109,404
0D16:57:04.908441000,x2,200.0062,88
0D16:57:04.919339000,x2,199.9888,102
0D16:57:04.919346000,x2,199.9072,253
0D16:57:04.929366000,x3,300.0772,238
0D16:57:04.929373000,x3,300.0425,210
0D16:57:04.939288000,x1,100.0085,208
0D16:57:04.939292000,x1,99.9121,373
0D16:57:04.949088000,x2,200.0113,223
0D16:57:04.949093000,x2,200.0542,93
0D16:57:04.958946000,x3,299.9048,213
0D16:57:04.958950000,x3,299.9571,128
0D16:57:04.969409000,x2,199.9117,260
0D16:57:04.969413000,x2,199.9025,52
0D16:57:04.979019000,x2,199.9068,78
0D16:57:04.979024000,x2,199.9855,142
0D16:57:04.988351000,x1,99.98779,136
0D16:57:04.988356000,x1,100.0054,132
0D16:57:04.998467000,x2,199.917,215
0D16:57:04.998472000,x2,199.9319,334
0D16:57:05.008800000,x3,299.9627,137
0D16:57:05.008816000,x3,299.98,374
0D16:57:05.019851000,x3,299.9953,472
0D16:57:05.019866000,x3,300.0331,204
0D16:57:05.029534000,x2,200.0708,215
0D16:57:05.029539000,x2,199.9395,270
0D16:57:05.038675000,x2,199.9919,42
0D16:57:05.038679000,x2,200.0766,365
0D16:57:05.049037000,x1,100.0724,161
0D16:57:05.049042000,x1,100.0992,417
0D16:57:05.058712000,x2,199.961,139
0D16:57:05.058717000,x2,199.9503,62
0D16:57:05.068437000,x1,100.0572,487
0D16:57:05.068442000,x1,99.94181,220
0D16:57:05.078815000,x3,300.0669,180
0D16:57:05.078820000,x3,299.9827,474
0D16:57:05.088733000,x2,199.9905,293
